Edad,Ingreso_Anual,Gasto_Mensual,Ratio_Uso_Credito,Num_Productos,Limite_Credito,Num_Transacciones,Ratio_Deuda,Antiguedad_Anios,Saldo_Promedio,Cluster_Real
26.768455868907832,16008.994063134942,821.7809965766647,0.26931629932275564,1.0,1297.5891291524583,22.0,0.21051060099801885,0.0,540.6432313818946,0
18.0,11293.491548588301,432.2837807033927,0.0,1.0,500.0,0.0,0.14525161589371943,0.0,0.0,0
36.07022818164692,14748.821272993886,264.82707650040686,0.0,1.0,2332.7677691295985,0.0,0.15410051464177676,0.0,0.0,0
18.0,44672.80585692871,187.04266425158343,0.0,3.0,500.0,6.0,0.0,0.0,291.7400898257689,0
29.08927916795594,20467.703249135575,88.9776489072891,0.006641067835142421,1.0,500.0,0.0,0.2522256005755239,1.0,0.0,0
25.111206106190032,12454.815162005041,50.0,0.13808138559308497,3.0,4793.840357348596,0.0,0.05547341787742511,1.0,852.3924915280986,0
18.0,15326.510736041033,50.0,0.0,3.0,6068.720085712468,2.0,0.24450873729645148,1.0,0.0,0
25.469397812880775,40147.726557109956,165.60700245444653,0.2753086864372169,1.0,4465.7075131256715,4.0,0.05694294153291509,0.0,0.0,0
19.891149876759886,23142.421029769146,1618.7782829518553,0.0,1.0,500.0,14.0,0.14734015979099457,0.0,519.5525518416164,0
22.931944473741186,31948.487863673603,50.0,0.0028166508899213835,1.0,500.0,7.0,0.13759195919390407,0.0,0.0,0
18.0,11942.70735217883,50.0,0.0,1.0,3212.1525704436153,26.0,0.1251392050477848,1.0,96.39894064835961,0
18.0,17618.200193531276,257.82100154338536,0.40470686419788116,1.0,2904.6420270008375,3.0,0.0,4.0,691.3917835344773,0
29.59390669161325,8000.0,1546.6825384986553,0.0,2.0,8571.366877429937,0.0,0.018453126937200845,0.0,0.0,0
18.0,18987.306837206794,50.0,0.11819731001146615,1.0,6649.803215052618,0.0,0.05362314166638272,3.0,0.0,0
24.183615372199643,36822.85566166697,50.0,0.07658727562865181,2.0,4345.468615331931,0.0,0.0,2.0,363.82896472789395,0
24.404731363320415,22988.854216756452,50.0,0.08344453239118452,2.0,500.0,25.0,0.16823194061129743,0.0,622.7185982163573,0
18.0,29334.018293891306,1312.251755847108,0.0,3.0,3238.342780809495,13.0,0.37313818950216837,0.0,0.0,0
18.0,8000.0,125.98235896245997,0.0991258843735967,2.0,4481.549747108072,3.0,0.3093089071106536,0.0,2108.5217999445254,0
28.00640653854406,8000.0,50.0,0.11947602779501867,1.0,4142.001482276276,9.0,0.08951263657741032,0.0,0.0,0
